,country,year,gender,gold,silver,bronze,total
0,Soviet Union,2020,female,5,9,7,21
1,Hungary,2020,female,5,3,5,13
2,Australia,2020,female,3,0,1,4
3,United States,2020,female,2,1,3,6
4,South Africa,2020,female,2,1,0,3
5,New Zealand,2020,female,1,0,1,2
6,Czechoslovakia,2020,female,1,0,0,1
7,Finland,2020,female,1,0,0,1
8,Italy,2020,female,1,0,0,1
9,Netherlands,2020,female,0,3,0,3
10,Great Britain,2020,female,0,1,2,3
11,Denmark,2020,female,0,1,1,2
12,Germany,2020,female,0,1,1,2
13,Austria,2020,female,0,1,0,1
14,France,2020,female,0,1,0,1
